,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
107,1997,Walter McCarty,PF,22.0,NYK,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0
108,1997,Amal McCaskill,C,23.0,ORL,2.0,0.0,3.5,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.5,1.5,0.33299999999999996,0.0,1.5,1.5,0.5,0.0,0.0,0.0,0.5,2.5
109,1997,Jim McIlvaine,C,24.0,SEA,5.0,0.0,5.6,0.8,1.4,0.5710000000000001,0.0,0.0,,0.8,1.4,0.5710000000000001,0.5710000000000001,0.2,0.4,0.5,0.2,0.2,0.4,0.0,0.2,0.4,0.2,1.4,1.8
110,1997,Aaron McKie,SG,24.0,DET,5.0,0.0,19.4,1.4,4.0,0.35,0.2,1.0,0.2,1.2,3.0,0.4,0.375,0.0,0.0,,0.2,1.8,2.0,2.0,1.2,0.4,0.6,2.4,3.0
111,1997,Nate McMillan,PG,32.0,SEA,3.0,0.0,13.7,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,0.0,0.0,,0.3,1.3,1.7,1.0,0.3,0.0,0.7,3.7,0.0
112,1997,Loren Meyer,PF,24.0,PHO,3.0,0.0,4.7,0.0,1.3,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.7,1.3,2.0,0.3,0.0,0.7,1.0,0.0,0.0
113,1997,Terry Mills,PF,29.0,DET,5.0,4.0,39.2,4.8,11.0,0.436,1.8,5.2,0.34600000000000003,3.0,5.8,0.517,0.518,0.4,0.8,0.5,0.8,6.2,7.0,1.4,1.2,0.0,0.8,2.8,11.8
114,1997,Sam Mitchell,SF,33.0,MIN,3.0,0.0,15.7,2.0,4.3,0.462,0.0,0.0,,2.0,4.3,0.462,0.462,1.7,2.7,0.625,0.7,1.7,2.3,0.3,0.3,0.3,0.3,3.0,5.7
115,1997,Chris Morris,SF,31.0,UTA,20.0,0.0,8.8,1.0,2.5,0.4,0.4,1.3,0.32,0.6,1.3,0.48,0.48,0.5,0.8,0.6,0.3,1.4,1.6,0.3,0.4,0.2,0.3,0.9,2.9
116,1997,Alonzo Mourning*,C,26.0,MIA,17.0,17.0,37.1,6.3,12.8,0.491,0.2,0.5,0.375,6.1,12.4,0.495,0.498,5.1,9.1,0.555,2.6,7.6,10.2,1.1,0.6,2.7,4.1,4.3,17.8
117,1997,Gheorghe Mureșan,C,25.0,WSB,3.0,3.0,23.3,1.3,3.0,0.444,0.0,0.0,,1.3,3.0,0.444,0.444,2.3,2.7,0.875,0.7,5.3,6.0,0.0,0.0,1.3,3.7,2.0,5.0
118,1997,Lamond Murray,SF,23.0,LAC,3.0,0.0,21.7,2.0,6.7,0.3,0.7,2.7,0.25,1.3,4.0,0.33299999999999996,0.35,2.3,2.3,1.0,0.7,3.0,3.7,1.0,0.7,1.0,1.3,2.3,7.0
119,1997,Tracy Murray,SF,25.0,WSB,3.0,0.0,29.0,5.7,10.0,0.5670000000000001,1.7,3.3,0.5,4.0,6.7,0.6,0.65,5.3,5.7,0.941,1.0,2.0,3.0,0.7,1.3,0.7,0.0,3.3,18.3
120,1997,Dikembe Mutombo*,C,30.0,ATL,10.0,10.0,41.5,5.4,8.6,0.628,0.0,0.0,,5.4,8.6,0.628,0.628,4.6,6.4,0.7190000000000001,3.7,8.6,12.3,1.3,0.1,2.6,2.0,3.0,15.4
121,1997,Steve Nash*,PG,22.0,PHO,4.0,0.0,3.8,0.5,2.3,0.222,0.3,1.0,0.25,0.3,1.3,0.2,0.278,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.3,0.5,1.3,1.3
122,1997,Ivano Newbill,PF,26.0,ATL,3.0,0.0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.7,0.0
123,1997,Jermaine O'Neal,PF,18.0,POR,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
124,1997,Shaquille O'Neal*,C,24.0,LAL,9.0,9.0,36.2,9.9,19.2,0.514,0.0,0.0,,9.9,19.2,0.514,0.514,7.1,11.7,0.61,4.2,6.3,10.6,3.2,0.6,1.9,2.4,4.1,26.9
125,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1997,Charles Oakley,PF,33.0,NYK,10.0,10.0,35.8,3.8,8.6,0.442,0.0,0.1,0.0,3.8,8.5,0.447,0.442,2.2,2.9,0.759,2.3,6.5,8.8,1.6,2.2,0.3,1.8,3.7,9.8
127,1997,Hakeem Olajuwon*,C,34.0,HOU,16.0,16.0,39.3,9.2,15.6,0.59,0.0,0.2,0.0,9.2,15.4,0.598,0.59,4.8,6.5,0.731,2.9,8.0,10.9,3.4,2.1,2.6,2.9,3.8,23.1
128,1997,Greg Ostertag,C,23.0,UTA,20.0,20.0,23.0,1.7,4.2,0.41,0.0,0.0,,1.7,4.2,0.41,0.41,1.3,1.8,0.743,2.6,4.3,6.9,0.3,0.5,2.4,0.9,3.8,4.7
129,1997,Bo Outlaw,PF,25.0,LAC,3.0,0.0,22.0,2.0,3.7,0.545,0.0,0.3,0.0,2.0,3.3,0.6,0.545,1.0,3.3,0.3,2.0,2.7,4.7,1.3,0.3,0.7,1.0,1.7,5.0
130,1997,Robert Parish*,C,43.0,CHI,2.0,0.0,9.0,0.5,3.5,0.14300000000000002,0.0,0.0,,0.5,3.5,0.14300000000000002,0.14300000000000002,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,1.5,0.0,1.0,1.0
131,1997,Cherokee Parks,PF,24.0,MIN,1.0,0.0,11.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,0.0,5.0,5.0,0.0,1.0,0.0,0.0,5.0,4.0
132,1997,Gary Payton*,PG,28.0,SEA,12.0,12.0,45.5,8.8,21.3,0.41200000000000003,2.1,6.3,0.33299999999999996,6.7,15.0,0.444,0.461,4.2,5.1,0.82,1.7,3.8,5.4,8.7,2.2,0.3,2.9,2.2,23.8
133,1997,Sam Perkins,C,35.0,SEA,12.0,6.0,28.3,2.6,7.7,0.337,1.2,3.8,0.311,1.4,3.9,0.36200000000000004,0.413,2.1,2.4,0.862,1.3,3.2,4.4,1.3,1.0,1.0,1.1,2.8,8.4
134,1997,Wesley Person,SG,25.0,PHO,5.0,1.0,32.6,5.0,10.6,0.47200000000000003,2.8,6.6,0.424,2.2,4.0,0.55,0.604,2.8,3.6,0.778,1.0,5.6,6.6,1.2,0.8,0.6,0.8,1.0,15.6
135,1997,Eric Piatkowski,SG,26.0,LAC,3.0,0.0,12.7,1.3,3.7,0.364,0.7,1.7,0.4,0.7,2.0,0.33299999999999996,0.455,2.0,2.3,0.857,0.3,0.3,0.7,0.0,0.3,0.0,0.0,1.7,5.3
136,1997,Ricky Pierce,SG,37.0,CHH,3.0,2.0,29.0,3.7,8.0,0.45799999999999996,0.3,2.3,0.14300000000000002,3.3,5.7,0.588,0.479,0.0,0.0,,0.3,2.3,2.7,1.3,0.7,0.0,1.0,2.7,7.7
137,1997,Ed Pinckney,PF,33.0,MIA,2.0,0.0,3.0,1.0,1.5,0.667,0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0
138,1997,Scottie Pippen*,SF,31.0,CHI,19.0,19.0,39.6,6.8,16.3,0.41700000000000004,2.1,5.9,0.345,4.7,10.3,0.45899999999999996,0.48100000000000004,3.6,4.5,0.7909999999999999,1.9,4.9,6.8,3.8,1.5,0.9,2.9,2.6,19.2
139,1997,Terry Porter,PG,33.0,MIN,3.0,0.0,15.3,1.7,4.3,0.385,1.0,3.0,0.33299999999999996,0.7,1.3,0.5,0.5,1.0,1.3,0.75,0.3,0.7,1.0,3.0,0.7,0.7,0.7,0.7,5.3
140,1997,Theo Ratliff,C,23.0,DET,3.0,0.0,6.0,1.0,1.3,0.75,0.0,0.0,,1.0,1.3,0.75,0.75,0.7,1.3,0.5,0.7,0.7,1.3,0.3,0.3,1.3,1.0,1.7,2.7
141,1997,Eldridge Recasner,SG,29.0,ATL,10.0,0.0,12.1,1.1,2.6,0.423,0.4,1.1,0.364,0.7,1.5,0.467,0.5,0.5,0.8,0.625,0.3,0.8,1.1,0.9,0.2,0.0,0.7,0.9,3.1
142,1997,Don Reid,PF,23.0,DET,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
143,1997,Glen Rice,SF,29.0,CHH,3.0,3.0,45.7,9.3,19.0,0.491,2.0,5.3,0.375,7.3,13.7,0.537,0.544,7.0,7.7,0.9129999999999999,0.3,3.3,3.7,3.7,1.3,0.3,1.3,3.7,27.7
144,1997,Pooh Richardson,PG,30.0,LAC,2.0,0.0,9.0,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.5,2.0,2.0
145,1997,Isaiah Rider,SG,25.0,POR,4.0,4.0,40.3,4.0,10.8,0.37200000000000005,1.5,4.0,0.375,2.5,6.8,0.37,0.442,3.8,4.3,0.882,0.3,1.8,2.0,4.3,0.8,0.0,3.0,2.8,13.3
146,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1997,Clifford Robinson,SF,30.0,POR,4.0,4.0,40.3,4.3,11.8,0.36200000000000004,0.8,4.0,0.188,3.5,7.8,0.452,0.39399999999999996,2.8,4.0,0.688,3.0,3.8,6.8,3.0,0.5,1.0,2.5,3.3,12.0
